date,region,product,units,revenue
2025-01-03,North,Widget A,14,2800
2025-01-05,South,Widget B,9,2250
2025-01-08,North,Widget B,5,1250
2025-01-12,West,Widget A,20,4000
2025-01-15,South,Widget A,11,2200
2025-01-18,North,Widget C,3,900
2025-01-22,West,Widget B,17,4250
2025-01-25,South,Widget C,6,1800
2025-01-28,North,Widget A,22,4400
2025-01-30,West,Widget C,8,2400
2025-02-02,North,Widget A,18,3600
2025-02-05,South,Widget B,12,3000
2025-02-08,West,Widget A,25,5000
2025-02-11,North,Widget B,9,2250
2025-02-14,South,Widget C,7,2100
2025-02-17,West,Widget B,19,4750
2025-02-20,North,Widget C,5,1500
2025-02-23,South,Widget A,15,3000
2025-02-26,West,Widget C,10,3000
2025-03-01,North,Widget A,28,5600
2025-03-05,South,Widget B,14,3500
2025-03-08,West,Widget A,30,6000
2025-03-11,North,Widget B,11,2750
2025-03-14,South,Widget C,9,2700
2025-03-17,West,Widget B,22,5500
2025-03-20,North,Widget C,6,1800
2025-03-23,South,Widget A,19,3800
2025-03-26,West,Widget C,13,3900
2025-03-29,North,Widget A,32,6400
2025-04-02,South,Widget B,16,4000
